question_id,date,category,question,option_1,option_2,option_3,option_4,correct_answer
98,2023-01-06,Internacional,¿Qué grupo político boicoteó en varias ocasiones la elección de Kevin McCarthy como speaker de la Camara de Representantes de EE.UU.?,Los demócratas,Los centristas,El Caucus de la Libertad de congresistas ultras,Los trumpistas,option_3
99,2023-01-06,Internacional,"¿Cuántas personas de Venezuela, Cuba, Nicaragua y Haití recibirá Estados Unidos cada mes según la nueva política migratoria pactada con México?",30.000,50.000,20.000,10.000,option_1
100,2023-01-06,Internacional,¿Qué medida sanitaria implementó el expresidente Donald Trump durante la pandemia que permitía expulsar rápidamente a inmigrantes?,La Ley de Inmigración y Nacionalidad,La Ley de Salvaguardia de la Seguridad Nacional,El Título 42,El Acta de Inmigración y Nacionalidad,option_3
101,2023-01-06,Internacional,¿Cuál es la cuarta red social más popular del mundo?,Instagram,TikTok,Facebook,Snapchat,option_2
102,2023-01-06,Internacional,¿Por qué podría prohibir EE.UU. la red social TikTok?,Por motivos de seguridad nacional,Por falta de transparencia,Por violar la privacidad de los usuarios,Por competencia desleal con otras redes sociales,option_1
103,2023-01-06,Internacional,¿Quién es el CEO de TikTok?,Mark Zuckerberg,Kevin Systrom,Evan Spiegel,Zhang Yiming,option_4
104,2023-01-06,Internacional,¿Cuántos empleados del Estado federal en Estados Unidos tendrán prohibido descargar TikTok a partir de febrero?,Todos,50 por ciento,Ninguno,Solo los empleados de alto rango,option_1
105,2023-01-06,Internacional,¿Quién presidió la Cámara de Representantes de Estados Unidos hasta enero de 2023?,Kevin McCarthy,Nancy Pelosi,Hakeem Jeffries,Byron Donalds,option_2
106,2023-01-06,Internacional,¿Quién es el primer ministro de Canadá?,Ahmed Hussen,Justin Trudeau,Chrystia Freeland,Ninguna de las anteriores,option_2
107,2023-01-06,Internacional,¿Qué disposición entró en vigencia el 1 de enero de 2023 en Canadá?,Prohibición de compras de viviendas por parte de extranjeros para frenar la escalada de precios,"Ley de Vivienda, Diversidad e Inclusión",Multa para mexicanos que compran bienes inmuebles en Canadá,Ninguna de las anteriores,option_1
110,2023-01-06,Internacional,¿En qué otros países se han implementado prohibiciones a la compra de viviendas por extranjeros similares a la de Canadá?,Nueva Zelanda y las Islas Aland de Finlandia,Estados Unidos y Australia,Francia y Alemania,Ninguna de las anteriores,option_1
111,2023-01-06,Internacional,¿Quién es el presidente de México?,Marcelo Ebrard,Luis Cresencio Sandoval,Andrés Manuel López Obrador,Ninguna de las anteriores,option_3
112,2023-01-06,Internacional,¿Quién es el líder de la pandilla de los Mexicales?,Marcelo Ebrard,Luis Cresencio Sandoval,El Ratón,Ovidio Guzmán,option_4
113,2023-01-06,Internacional,¿Cuántos oficiales de seguridad fueron asesinados durante el motín en la cárcel Cereso 3 de Ciudad Juárez a comienzos de enero de 2023?,7,10,24,30,option_2
114,2023-01-06,Internacional,"¿Quién ha sido detenido en Jesús María, en la ciudad de Culiacán?",Marcelo Ebrard,Luis Cresencio Sandoval,Andrés Manuel López Obrador,Ovidio Guzmán,option_4
115,2023-01-06,Internacional,¿Desde cuándo Estados Unidos acusa a Ovidio Guzmán de cargos de narcotráfico?,septiembre de 2019,octubre de 2019,enero de 2020,septiembre de 2020,option_1
116,2023-01-06,Internacional,¿Quién es el presidente actual de Brasil?,Luiz Inácio Lula da Silva,Fernando Haddad,Marina Silva,Mauro Vieira,option_1
117,2023-01-06,Internacional,¿Cuál es la sede del gobierno de Brasil?,Palacio de Planalto,Palacio de Itamaraty,Palacio de Gobierno,Casa Rosada,option_1
118,2023-01-06,Internacional,¿Cuál es la capital de Brasil?,Rio de Janeiro,Sao Paulo,Salvador,Brasilia,option_4
119,2023-01-06,Internacional,¿Cuál es la población de Brasil?,215 millones,120 millones,58 millones,60 millones,option_1
120,2023-01-06,Internacional,¿Quién es el ministro de Medio Ambiente de Brasil?,Fernando Haddad,Marina Silva,Luiz Inácio Lula da Silva,Mauro Vieira,option_2
121,2023-01-06,Internacional,¿Cuál es el propósito del cese al fuego bilateral que ha pactado el presidente de Colombia con varios grupos armados?,Suspender la afectación humanitaria de las comunidades étnico-territoriales y campesinas,Evitar incidentes armados entre la Fuerza Pública y las organizaciones al margen de la ley,Derogar el decreto y retomar acciones militares contra el ELN,Discutir la propuesta de cese al fuego permanente en la segunda ronda de negociaciones con el Gobierno,option_2
122,2023-01-06,Internacional,¿Cuánto durará el acuerdo de cese al fuego pactado por el presidente de Colombia con varios grupos armados?,Hasta el 30 de junio de 2023,6 meses,Una semana,"No hay una duración específica, dependerá de los avances en las negociaciones",option_1
123,2023-01-06,Internacional,"¿Quién ha desmentido al presidente de Colombia, Gustavo Petro, sobre el cese al fuego bilateral?",El ELN,Las disidencias de las FARC,Las Autodefensas de la Sierra Nevada,Los Autodefensas Gaitanistas de Colombia (Clan del Golfo),option_1
124,2023-01-06,Internacional,¿Quién fue uno de los primeros en expresar su apoyo al anuncio del Gobierno sobre el cese al fuego bilateral?,"Carlos Ruiz Massieu, representante de la ONU en Colombia","Iván Velásquez, ministro de Defensa","Antonio García, primer comandante del ejército del ELN","Otty Patiño, jefe de la delegación del Gobierno en los diálogos con el ELN",option_1
125,2023-01-06,Internacional,¿Qué anunció a comienzos de enero de 2023 el ELN de Colombia?,Que no ha discutido con el gobierno ninguna propuesta de cese al fuego bilateral,Que estarán dispuestos a discutir la propuesta de cese al fuego en la segunda ronda de negociaciones con el Gobierno,Que no existían las condiciones para el cese al fuego,Que habían declarado previamente una tregua navideña que expiró el 2 de enero,option_2
126,2023-01-06,Internacional,¿Quiénes son el presidente y la vicepresidenta de Argentina?,Alberto Fernández y Cristina Fernández de Kirchner,Horacio Rodríguez Larreta y Cristina Fernández de Kirchner,Cristina Fernández de Kirchner y Horacio Rodríguez Larreta,Alberto Fernández y Horacio Rodríguez Larreta,option_1
127,2023-01-06,Internacional,¿Cuál era a comienzos de 2023 la principal causa del bloqueo en Nagorno Karabaj?,Una crisis humanitaria,Una protesta de manifestantes azerbaiyanos contra la contaminación causada por la explotación de dos minas bajo control armenio,Un acuerdo entre Armenia y Azerbaijan que garantiza el statu quo,Una falta de diálogo entre ambos gobiernos,option_2
128,2023-01-06,Internacional,¿Quiénes son el guía supremo del régimen teocrático de Irán y el ministro de Exteriores de Irán?,Ayatolá Alí Jamenei y Hossein Amir Abdollahian,Ayatolá Alí Jamenei y Nicolas Roche,Hossein Amir Abdollahian y Ayatolá Alí Jamenei,Hossein Amir Abdollahian y Nicolas Roche,option_1
129,2023-01-06,Internacional,"A comienzos de enero de 2023, Irán anuncio represalias contra Francia. ¿Cuál fue el motivo?",Por publicar caricaturas del ayatolá Alí Jamenei en Charlie Hebdo,"Por el cierre del Instituto francés de Investigación en Irán
",Por el insulto a uno de los santos beatificados en el país con el pretexto de la libertad de expresión,Por el atentado del 7 de enero de 2015,option_1
131,2023-01-06,Internacional,¿Quién es el ministro israelí de Seguridad Nacional y líder de una formación ultranacionalista que visitó la Explanada de las Mezquitas en Jerusalén?,Benjamín Netanyahu,Mahmoud Abbas,Itamar Ben Gvir,Mohammad Shtayyeh,option_3
132,2023-01-06,Internacional,¿Cuánto tiempo cumplió Karim Younis en una cárcel de Israel por el secuestro y asesinato de un soldado israelí?,10 años,20 años,30 años,40 años,option_4
133,2023-01-06,Internacional,¿Quién es la líder depuesta de Myanmar por el golpe castrense de 2021?,Min Aung Hlaing,Aung San Suu Kyi,Mahmoud Abbas,Mohammad Shtayyeh,option_2
134,2023-01-06,Internacional,¿Cuántos años de condena ha recibido Aung San Suu Kyi por parte de la junta militar de Myanmar?,10 años,20 años,30 años,33 años,option_4
135,2023-01-06,Internacional,¿Cuál de los siguientes no es un país que ha condenado la visita de Itamar Ben Gvir a la Explanada de las Mezquitas de Jerusalén?,Estados Unidos,Francia,Jordania,Bangladesh,option_4
136,2023-01-06,Internacional,¿Quién es el presidente de Ucrania?,Vladimir Putin,Volodímir Zelenski,Oleksii Danilov,Vadim Skibitski,option_2
137,2023-01-06,Internacional,¿Qué frase estaba escrita en el dron ruso que explotó el 1 de enero de 2023 en Kiev?,"""Bum, feliz año nuevo""","""Atención, ataque inminente""","""Esto es solo una advertencia""","""Esta es una prueba de ataque""",option_1
138,2023-01-06,Internacional,¿Cuántos soldados rusos fueron asesinados según el Estado Mayor ucranio en el ataque con artillería HIMARS en Makiivka?,100 soldados,200 soldados,300 soldados,400 soldados,option_4
139,2023-01-06,Internacional,¿Cuál es la arma suministrada por Estados Unidos que fue clave en la contraofensiva ucrania?,HIMARS,Misiles de crucero,Drones,Artillería pesada,option_1
140,2023-01-06,Internacional,¿Qué días se ha producido el alto el fuego entre Rusia y Ucrania?,6 y 7 de enero de 2023,7 y 8 de enero de 2023,8 y 9 de enero de 2023,9 y 10 de enero de 2023,option_2
141,2023-01-06,Internacional,¿Quién ordenó en enero de 2023 una tregua de 36 horas por la Navidad ortodoxa en la guerra de Ucrania?,Volodímir Zelenski,Vladimir Putin,"Kiril, patriarca de la Iglesia ortodoxa rusa",Serguéi Shoigú,option_2
